n_updates,explained_variance,value_loss,ep_len_mean,serial_timesteps,true_reward,policy_entropy,fps,total_timesteps,policy_loss,ep_reward_mean,time_elapsed,approxkl,clipfrac
1,-95.98713684082031,360.91605,0.78,250,0.041435998,5.6767783,7416,25000,0.24145508,0.11132172174751759,0.0013599395751953125,2.851875,0.67581195
2,-174.83627319335938,164.65474,0.73,500,0.040210348,5.6806636,48317,50000,0.06696786,0.1064013959467411,4.3736255168914795,0.09508868,0.46177202
3,-243.43655395507812,86.66037,0.82,750,0.04059748,5.6835194,50422,75000,0.03164246,0.11845749903470278,5.769726991653442,0.038302917,0.304216
4,-242.63279724121094,42.261192,0.75,1000,0.040651474,5.6836843,49879,100000,0.01999254,0.10814708761870861,7.140380620956421,0.022677649,0.248932
5,-313.4088439941406,20.751179,0.76,1250,0.040625993,5.681981,48500,125000,0.048416853,0.11151953853666782,8.498981714248657,0.065402195,0.36890396
6,-304.9732971191406,10.38393,0.73,1500,0.041071676,5.681113,49208,150000,0.028764978,0.10644600950181485,9.857246160507202,0.042539906,0.24216399
7,-340.4090576171875,4.197217,0.65,1750,0.041014038,5.679211,49590,175000,0.04521362,0.09668462157249451,11.220885038375854,0.061622005,0.37325197
8,-119.78992462158203,1.1691923,0.68,2000,0.040993813,5.6791987,49474,200000,0.00018052888,0.09884810388088226,12.599759101867676,0.005648832,0.069652006
9,-95.74949645996094,0.7345585,0.91,2250,0.041079864,5.6793394,50367,225000,0.021823455,0.13197672985494135,13.962052583694458,0.03175858,0.28609604
10,-47.14201736450195,0.38909188,0.71,2500,0.040775552,5.679575,42453,250000,0.065435335,0.10352600749582053,15.318397283554077,0.1648744,0.489688
11,-47.82497787475586,0.316385,0.85,2750,0.041180015,5.6805916,48714,275000,0.004491955,0.12274549916386604,16.77018165588379,0.011297278,0.12369599
12,-24.659711837768555,0.20480737,0.69,3000,0.041245546,5.678672,41472,300000,0.022439139,0.10143309779465198,18.14326786994934,0.040838223,0.307324
13,-22.787395477294922,0.27181312,0.72,3250,0.041373525,5.6789403,49395,325000,-0.00032672484,0.10510156407952309,19.595820426940918,0.008225543,0.100588
14,-13.708364486694336,0.17073339,0.83,3500,0.04136089,5.6797953,48626,350000,0.056811463,0.11836782120168209,20.9816997051239,0.13542672,0.444252
15,-14.19607162475586,0.104289755,0.71,3750,0.041472252,5.682737,47678,375000,0.014989875,0.10319291107356549,22.370708465576172,0.028531188,0.253616
16,-10.99593448638916,0.082870975,0.88,4000,0.04155293,5.687249,48209,400000,0.120563254,0.1282515911757946,23.736002922058105,0.45845327,0.64096797
17,-10.795391082763672,0.07176462,0.86,4250,0.041111324,5.692922,43820,425000,0.065994635,0.12356725674122572,25.109381914138794,0.17975584,0.525136
18,-7.807733535766602,0.066888444,0.66,4500,0.04102474,5.696883,48860,450000,0.14077659,0.09605341657996178,26.5300133228302,0.67954355,0.667364
19,-10.685066223144531,0.09580849,0.83,4750,0.04123327,5.7031536,49710,475000,0.06749777,0.11951726123690605,27.88456153869629,0.14455226,0.45682
20,-7.754241943359375,0.13149275,0.76,5000,0.041573443,5.7070003,48703,500000,0.040448416,0.11022535391151905,29.39356255531311,0.07640154,0.37799996
21,-10.791738510131836,0.082635656,0.87,5250,0.041511644,5.7096815,48471,525000,0.048473723,0.12534586571156978,30.758955717086792,0.08074161,0.40185204
22,-8.264273643493652,0.07527767,0.84,5500,0.041550376,5.7122617,49958,550000,0.03692737,0.12089960299432277,32.11461925506592,0.06120944,0.361876
23,-9.499974250793457,0.07952036,0.84,5750,0.04163979,5.7139416,48419,575000,0.05164879,0.12255253627896309,33.44799852371216,0.09374743,0.44202
24,-7.873185157775879,0.057780396,0.93,6000,0.04165671,5.715804,47993,600000,0.09937914,0.1344553166627884,34.80270075798035,0.2821928,0.5352
25,-5.725523471832275,0.15856536,0.81,6250,0.041363604,5.719165,49621,625000,0.021135662,0.11708195813000202,36.1533567905426,0.037102204,0.309432
26,-9.465209007263184,0.0828643,0.7,6500,0.041615546,5.7216644,48321,650000,0.03873279,0.10172810807824134,37.48763966560364,0.06050936,0.37309203
